"","NP_001019837","NP_001157016","NP_036442","NP_839943","NP_000967","NP_006259","NP_001127836","NP_001070729","NP_005110","NP_001269119","NP_061029","NP_056473","NP_057417","NP_001271230","NP_057712","NP_004324","NP_003065","NP_061819","NP_001157616","NP_008841","NP_001107018","NP_001012768","NP_004577","NP_690852","NP_001030611","NP_002705","NP_055987","NP_001290377","NP_003633","NP_055970","NP_000436","NP_001185765","NP_001092108","NP_001243778","NP_001165375","NP_001107018","NP_001153575","NP_001295159","NP_004629","NP_001104792","NP_001257951","NP_001229343","NP_055114","NP_061848","NP_001027454","NP_001611","NP_057417","NP_001001","NP_079112","NP_001027454","NP_006600","NP_054828","NP_001107590","NP_001073308","NP_001139019","NP_005244","NP_005244","NP_001009880","NP_001002032","NP_001034558","NP_055555","NP_055555","NP_036244","NP_653265","NP_116204","NP_001273897","NP_065823","NP_004095","NP_066932","NP_066932","NP_031385","NP_001108585","NP_004095","NP_001002909","NP_003179","NP_001229268","NP_001004304","NP_002568","NP_001387","NP_055987","NP_001135772","NP_001248745","KIAA0701","NP_001006666","NP_001006666"
"PA9.79EE.073G01",0.55712214893228,-0.760843258935732,1.64686020082875,-2.05586961949742,-0.782622688767241,-0.877046081746272,-3.73343184490346,-4.20562968760404,-1.16049308864286,-3.15909341443397,-2.81625584718514,-0.110991699742498,-1.96632616725813,-4.33207043880923,-4.32970215450403,-4.62587358795323,NA,NA,0.439193136635498,5.28230350119151,-3.00362227603351,-2.50347419103091,-0.689338614127776,-1.65764528330372,-1.99921555003491,NA,-0.929319650086582,-0.881929434390104,-2.19127908541888,-1.6821962388575,0.418349988563079,-0.16252200038258,-3.83690374366407,NA,-0.0875431490186074,-3.21822080727949,-3.23612200822683,-3.30837871809032,-2.58367431313923,-3.1397583763162,-1.79431394254432,-2.15722414648495,-0.719311642629553,-0.918712323689832,-0.781660979622035,4.16385091886123,-0.818431919240456,-1.07892678182556,0.56435770721494,-1.65512211688033,6.44572458080863,9.58772255749988,2.92659004009381,NA,9.98093863865948,0.575420368286304,5.79801940154042,1.70606932606304,-5.38393378079486,2.09064511431386,1.5904544497395,2.25505166998854,0.163603142608206,NA,1.31750742727297,0.31842371294872,1.33641005931012,1.3220030762599,0.7952275983271,0.375430837929106,0.632942395223076,0.835768643117297,0.751950255869086,-1.30521685341929,1.41225299332936,1.75623158271922,1.62736187239634,1.57923204495924,1.23598553993323,1.38279702222604,3.38407668622726,2.16513457315819,1.89092373102339,0.132430970237708,6.0366507579937
"PA9.79EE.075G03",-0.333354007429251,-0.664126875943102,-0.265490347808333,NA,-1.66953534602112,-1.36150326000783,-2.85298222517884,-3.4591752121737,NA,NA,-2.43323767454644,-1.81834207230918,-2.24396736744526,-2.84218377371146,-1.37978102853099,-2.94530704817935,-2.80259325450442,NA,-0.228225954079374,5.64200022653444,-4.18800577609578,-3.30324982183302,-2.8889027735831,-2.16713578892086,2.63399496389224,4.00035955402732,3.52666179410735,-1.23856845192387,-2.55828265977183,NA,-1.98668328919222,-2.14942186556607,-1.91106028699361,-0.368642778248063,-2.82651550075851,-1.50739024157988,-0.848967586723128,-0.920111178655435,-2.34227547162807,0.150187003445687,-0.50405558296047,-0.0476924040953786,-0.397885669294693,0.21821766811944,-1.82761324878099,-0.883808972552627,-0.340592881907216,0.589717425596181,0.410347856196188,-1.73112945589781,5.38404300214494,10.5237799024895,1.2874529559337,NA,2.32708137067526,7.51030805785333,4.36425731441271,3.06755715610234,-0.405493335789956,0.187645524712538,0.363978605831396,1.01840466999224,NA,NA,-0.138090070348966,-0.0270886432433246,0.218272146838696,0.488792303474397,0.00792399650120057,-0.318017908657286,-0.538754988836546,0.0589027092816989,-1.11493580036563,-0.229946498478973,0.732174330643021,0.617747838764023,0.708734336028913,0.394607805152648,-2.25126293396368,0.374901132972282,1.59595559535017,1.56130469828643,1.26742859670342,2.28066684824462,5.2976784062538
"PA9.79EE.063F03",-3.95388232278254,-3.06986987648475,-0.222600727166218,NA,-1.81539148274662,-1.18500348184407,-3.37090867309404,-4.86793666028158,NA,NA,-1.69860650629391,-1.67163014325452,-2.40552810063419,-1.03156571381224,0.227520789121847,-2.48757475816146,-0.811758228003551,5.41435770751877,0.344765227398737,0.249426095692637,1.18926220342562,-2.88182091902011,-0.398483534743395,-1.65365867708678,NA,NA,NA,-1.27176384154231,-2.00173682604586,NA,-2.84845008677796,-1.13344441320281,-3.52513322488004,NA,NA,-3.08211165948691,0.244987740403805,0.452143619694642,-0.983528550433853,1.17072142885825,0.232256789024879,-0.222067834872217,0.481857619921809,0.270352588740917,-4.06045804028716,1.2838558505187,0.32236879778459,-3.16757115351888,-3.55095461494046,-4.32564959636284,5.99579433789436,8.08012820146597,5.46245961785358,NA,7.85609202263617,2.16767219870537,3.67624101777917,5.97379661309838,NA,-1.20278490536814,-1.87462786513673,-2.03223216184451,-1.3949035939874,NA,0.808940028296806,0.3571771058905,0.346015561538286,0.843532755464377,0.848908002918634,0.615205472937686,-0.617575291017534,0.170234370994585,-2.10832045120605,0.44526691566651,2.09222276093098,1.31029325076051,0.967269295974596,1.18517976260062,0.243349639953362,0.64322642844313,1.54320548324584,1.79189870087603,2.3903212529832,-0.211150339590811,6.20059319413042
"PA9.79EE.066F06",-5.45623751628853,-3.47499645105395,-0.982766544625901,5.36080401016922,-4.13572723955443,-2.1355864723479,-6.99910172080028,1.4620592079526,NA,NA,1.30178117539048,0.0469312067562582,0.15435046584013,-0.414829086788414,-0.0800587246714026,-1.50024368486286,1.33404102259769,3.34478762900595,-0.0364960593243016,1.25665134163795,-0.473602117863809,0.148801717189782,1.67840460516612,0.229759034180881,NA,5.23810383981989,NA,0.894218131992761,-0.0657510639740471,NA,2.63826941930705,-0.577601359963648,-1.52129247358764,NA,-0.387961526019556,-0.932206024868936,-0.276926813928265,0.178311124412395,0.881713320621695,0.404976972520506,-0.670741535988269,-1.34166692667968,-0.158826175427226,-0.636477894707604,2.17384130789164,-0.827171922491222,-0.0536812817613486,-3.07770256478379,3.07981692580526,4.28474647566936,5.438841674137,7.29778782868658,-1.16637772883213,NA,-0.767444297361605,NA,4.01964643804367,5.43576354095575,NA,-3.40150548067096,-3.40022386552014,-3.59947585958641,-7.93587704011693,NA,-0.520607322757523,-1.17167905338723,-0.374506902729473,0.459437078290483,-0.249027223219172,-0.328717468662719,NA,-1.75919347675043,-2.55956682275321,-6.88484781748205,-0.645964481254962,-0.226089905763677,0.136089226104508,0.0593184105872049,-0.671206804169638,-0.459493891768343,0.0615141706737259,-2.10712150598241,1.85870146497202,8.60110955824788,5.6278833100976
"PA9.79EE.094H10",2.71073009430424,1.63254439208394,2.38764086114036,1.08608893905823,3.69413365181653,2.4192999091955,-0.0952111180298443,-2.88432932701283,-2.58655008459158,-2.19913991029903,-4.54835649177063,-0.457068663614719,-0.579937074972666,-2.84457635156032,-4.41197888605517,-1.62377269298054,NA,-3.16204791504514,-3.13115643795338,-1.46706331851258,-3.41944138887278,-1.27364287644993,-3.32934496873129,-0.820414078881826,-1.19424270554379,-1.16526309987272,-1.17341952383801,0.287877109118665,1.60409727605602,-1.13181805978751,NA,NA,-2.86181362811739,NA,-2.14721845163261,-2.11887258877067,-1.37507756186893,-1.76836021066168,-1.37598928451665,-0.873447367468481,-0.445293272753301,-0.386253877055128,0.128182405083423,0.165707173817945,0.183566493416735,-3.42585243436958,-2.0875605874834,0.74367595668735,0.697327482543336,-3.29975992021549,NA,-0.232844721878511,-1.1040340950441,1.81329974963298,1.1828727186923,2.82620037611572,2.4766842460524,2.70084180747141,0.420100688435785,2.39361714176279,2.28870435992735,2.25937736730339,1.7465932185,1.66667356811385,0.784063502673103,1.75612735733917,2.63566809344195,2.96233335916697,3.05412137851055,2.48320680058339,1.40370828530556,1.19510411423209,1.95943114468017,2.10004433637516,0.863539609992738,0.698232408407749,2.11166134275955,2.56323181787412,2.45302354922824,2.0066348536598,0.439954801727291,0,1.24628592768824,-2.69983383627322,-2.2446116658851
"PA9.79EE.093H09",2.5848887573326,2.05906683126612,1.72005285390271,2.68848799096707,3.12575397568606,1.03252596959642,0.506735832365822,-3.12559236947399,-2.1999903921763,-1.83890337779083,-3.27002298950229,-0.899441341513467,-0.844604450106742,-2.57959160490581,-4.51814595010585,-1.52852168452101,NA,-3.73481723019956,-2.60823938195741,-2.27537642265476,-4.03872066862494,-1.83086118806984,-3.15105864331327,-2.08123938772151,-1.69231839444704,-0.700644684441412,-0.959985796362755,-1.27381467908055,0.289500710775357,-0.758771267425093,0.484190149053823,-2.56102512383753,0.127997863744497,-1.05552403810807,1.22131285960732,-1.11054851726519,-0.921456896278095,-1.66406875800631,0.842312161067615,0.382224157691328,0.13444447319113,-0.212124546593442,0.749508745144108,1.19714333036734,0.967597876495313,-2.30703415046561,-2.30399177696463,-0.243929462472205,-0.393572824854035,-2.65369463344665,-2.00987186671412,-0.766688525124608,-1.61551008526175,1.51219558115085,1.41807618215349,1.80737961786645,1.79592817702733,1.97053121533051,0.372381204802294,2.20965549497506,1.52767777354884,1.73338190828592,1.76171230285924,1.8713893203816,1.73192250295509,1.83997587213116,1.92192806094166,2.63728560737296,2.18929200294432,2.18576244261726,1.28014682001576,1.7507872691671,1.84331673639756,1.62842054047243,1.27166147189061,1.68068824815529,1.32560011945481,1.92752405340821,2.0776757891467,1.97142417688676,0.030509038837212,0.287456528555006,-0.42957688043029,-0.712731631669315,-0.920474474003626
"PA9.79EE.092H08",2.13013082709455,1.8097834881738,1.23590040341076,2.84174323272447,2.39308031650995,0.526199506957061,1.27946364741975,-2.7541871163848,-1.83140749741969,-1.40562230576507,-3.04545912474236,-1.4041644302621,-2.11705538679227,-2.84988765688767,-1.7705922111314,-1.11030067931427,NA,-3.82085504265421,-2.82465628372862,-2.43448588626434,-3.78279263295568,-2.53454685156201,-3.04146049267386,-1.87975913607463,-2.05092597488228,-2.08115536698439,-1.35234619678348,-1.10404328716101,0.790084622963556,-1.15675308619448,0.596176508733665,0.362921152280439,0.163877418545606,0.801308042151369,0.618713321229457,-0.549115716508738,0.0631832956005611,-0.651421970351802,0.831575606456628,1.03566080707168,0.879849719574449,0.700774508437965,0.70236378522664,1.53961886856013,1.83492026018465,-1.36773991001421,-2.01350651925901,-0.299695464297709,NA,-3.18917997596598,0.174254818182491,-1.01677164878168,-1.76397230467182,1.30678457222053,0.951788349993192,0.674091428852543,1.43526109685687,1.48949365683356,0.707323814977247,1.88553442774472,0.947064113454826,0.632991717386695,1.15140549706127,1.21137951021818,1.92917662183732,1.16106174437113,1.53350918495962,2.28167804672215,1.94656233080249,2.08257864368691,1.11433016132999,1.19436703561744,1.51732813122216,1.01679735951315,0.232929374214319,1.42588703853217,0.928671747275412,1.23791050144707,1.40471512227035,1.196929811141,-0.40260532943306,-0.200822970775139,-0.380099722228458,0.231775966930973,-0.0636423937441908
"PA9.79EE.096H12",2.59708754924822,1.80752295911786,1.78327207724387,1.56681284133403,2.96483325972342,1.7653927196626,0.631102565454225,-3.37271744414472,-2.1996482046723,-1.46187979804239,-2.85933499804417,-0.920469590480828,-1.19024737768177,-3.31636127476408,-4.24700931104653,-1.63602718157135,-1.96466331313235,-2.99624368855768,-2.49821086863301,-1.81024064717427,-3.28407827594947,-2.49817570861299,-3.25056538417434,-2.6705513962634,-1.80519235904594,-1.43043791653313,-0.821210362084889,-0.605328930154791,1.49444003701689,-1.16751103032516,0.336291055215077,1.07205528895703,0.6729869469142,0.895732334712748,1.44558772683455,-1.91572982356219,-1.22561973263912,-1.82394388820873,1.06325729853709,0.377166230980404,-0.00368684439879496,-0.834570298969495,0.675132805935185,1.2060543614904,0.662957134957088,-2.09628372951625,-1.65229568600273,0.00586733940865702,0.602077667325233,-2.14989723759706,-0.168549520926147,-0.712144343891771,-1.53602800227901,1.21075540771301,0.937167766230117,1.03530226210883,1.38901333403218,2.10704424334963,0.310165202731722,0.712683658579882,0.982948533602797,1.15810773314432,1.33836420085407,1.52517487214077,1.89583641204998,1.25653902219266,2.06398844337559,2.64168613289678,1.99053168414574,2.3410908284261,1.08755428139915,1.5369421517445,1.59841617513031,1.59544368001892,0.648117828529425,1.55908234525467,1.17432558347611,1.77172614726147,2.19062448145851,1.79952286625215,-0.538005796604201,0.200280589604655,0.981111111027824,-0.887006140932358,-0.924823981824359
"PA9.79EE.091H07",1.9218278097346,1.80156677828891,1.53248177351993,2.72094654914981,2.65322028868755,0.772775026624068,1.09940008486,-1.71674479744876,-1.30077690075231,-0.756194312341324,-3.31529812472928,-1.53793292875834,-1.13094940573172,-1.54036932665154,-0.619493110399795,-0.517585551747757,-3.02236972892122,-3.31848092670378,-2.08744052618158,-1.69492618824901,-3.11034713079889,-2.28630943457565,-4.29922666036021,-1.14430383639203,-1.39442201659451,-2.30917419127669,-1.53305930629742,-1.3320621114533,1.50761801464889,-0.469164097777146,-0.436650555505885,0.67547070935085,-0.189672287830545,-1.52357232139351,-4.00162292584159,-0.283652200886697,0.204955870012304,-0.434267577391932,0.303274028277155,1.24349795356579,0.407083498052632,0.614309828359692,0.558207848338306,0.842660278049996,2.64476300802225,-1.49408731641159,-2.4825334430551,0.375532478530411,-0.157076991665651,-1.03868717700454,0.321447512675854,-0.552912768436309,-2.06153206221719,2.18672499606416,1.28468655245541,1.23674878547123,1.78094359404751,1.37695204996121,0.517246562525109,1.61299693667378,0.761766164147155,0.650352136802248,1.18637361450312,1.45990161905656,1.23770316921548,1.3784540684012,1.7433863948512,2.29702364812352,2.04982965609579,1.54972674142168,0.932017191391396,0.859907695260546,1.53997344823012,1.15156163083891,0.467799567462854,0,1.12439970965699,1.45577873575003,1.05609184061849,0.767132840715743,1.05550965805951,-0.304060170357406,-0.0231560457995919,-0.534338753044501,-0.777088045206726
"PA9.79EE.095H11",2.0000020298454,2.1350663387775,1.44586542800168,2.33036952086233,2.6667270816287,1.65076844133417,1.52474219959941,-2.01713364962358,-0.903073050405221,-0.670624974366038,-2.91456658168462,-1.13494373065639,-0.888806468242867,-1.81196909840239,-1.35145118574335,-0.818519176907774,NA,-2.89836582893643,-1.99821807388465,-1.70758334997129,-3.32453810895995,-1.70145948669065,-3.8019871364622,-1.49950712408017,-1.63414808686271,-1.2925605082851,-1.08312549717777,-1.32082660818828,0.0103957220883197,-0.657664844690176,0.725240357742435,NA,0.630448863733015,-2.47379177446673,-0.241348996109796,-0.367147735142226,0.255072228188974,-0.0880994742938199,1.10726376852944,0.95970068066293,0.687274821391022,0.760228689593682,1.04405132718186,1.35412645595765,1.58308211066751,-1.1290682737681,-2.37433620990299,-0.159270466975722,NA,-3.27841324727274,-3.9517015591298,-0.937028748039685,-1.45623279246174,0.856480125602475,0.820208787976832,0.317991890120958,1.02288841727825,1.6847137749955,0.433361720684748,0.827836729871061,0.84626242997213,0.942617252637261,1.09719332336846,1.47906285767869,1.36673432598215,1.09379392581015,1.55085348708786,2.22716615459375,1.67868136980499,2.18146302465839,1.28598910988929,1.23663629949257,1.39865108202291,1.3591619978045,0.279334512711993,0.629645998681497,0.890727163189632,1.41388384312962,1.67687962419445,1.33268769560327,-1.00483555618058,-0.121553239942561,-0.262882116067795,-0.472036285863044,-0.753779709641135
