replicates,canonical_smiles,cell_id,det_filename,det_plate,det_well,pert_batch_internal_compound_enumerator,pert_batch_internal_replicate,pert_dose,pert_dose_unit,pert_id,pert_iname,pert_time,pert_time_unit,pert_type,pert_vehicle,provenance_code,pubchem_cid,group
PA9.79EE.001A01,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A01_acq_01,P-0013,A1,1,1,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.003A03,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A03_acq_01,P-0013,A3,1,3,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.002A02,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A02_acq_01,P-0013,A2,1,2,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.005A05,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A05_acq_01,P-0013,A5,1,5,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.004A04,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A04_acq_01,P-0013,A4,1,4,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.013B01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B01_acq_01,P-0013,B1,2,1,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.006A06,CS(=O)C,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_A06_acq_01,P-0013,A6,1,6,0,uM,DMSO,DMSO,3,h,ctrl_vehicle,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,679,A
PA9.79EE.015B03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B03_acq_01,P-0013,B3,2,3,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.014B02,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B02_acq_01,P-0013,B2,2,2,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.017B05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B05_acq_01,P-0013,B5,2,5,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.016B04,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B04_acq_01,P-0013,B4,2,4,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.026C02,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C02_acq_01,P-0013,C2,3,2,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.027C03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C03_acq_01,P-0013,C3,3,3,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.018B06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_B06_acq_01,P-0013,B6,2,6,1,uM,BRD-K81418486,SAHA,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,B
PA9.79EE.025C01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C01_acq_01,P-0013,C1,3,1,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.030C06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C06_acq_01,P-0013,C6,3,6,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.037D01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D01_acq_01,P-0013,D1,4,1,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.028C04,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C04_acq_01,P-0013,C4,3,4,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.029C05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_C05_acq_01,P-0013,C5,3,5,1,uM,BRD-K68202742,trichostatin A,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,C
PA9.79EE.040D04,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D04_acq_01,P-0013,D4,4,4,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.041D05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D05_acq_01,P-0013,D5,4,5,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.038D02,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D02_acq_01,P-0013,D2,4,2,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.039D03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D03_acq_01,P-0013,D3,4,3,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.050E02,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E02_acq_01,P-0013,E2,5,2,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.051E03,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E03_acq_01,P-0013,E3,5,3,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.042D06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_D06_acq_01,P-0013,D6,4,6,1,uM,0,5-Aza-2'-deoxycytidine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,D
PA9.79EE.049E01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E01_acq_01,P-0013,E1,5,1,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.061F01,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F01_acq_01,P-0013,F1,6,1,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.054E06,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E06_acq_01,P-0013,E6,5,6,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.053E05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E05_acq_01,P-0013,E5,5,5,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.052E04,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_E04_acq_01,P-0013,E4,5,4,15,uM,0,Lanatoside C,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,E
PA9.79EE.065F05,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F05_acq_01,P-0013,F5,6,5,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
PA9.79EE.064F04,0,A549,C20150205_LINCS_P100_CrudevsPure_Standards_P-0013_F04_acq_01,P-0013,F4,6,4,2,uM,0,Staurosporine,3,h,trt_cp,DMSO,L2X+SF8+PF9+LLB+OSF+RMN,0,F
